"product-ratingsContainer","product-ratingsCount","product-separator","product-base href","img-responsive src","product-brand","product-product","product-sizeInventoryPresent","product-sizeInventoryPresent 2","product-sizeInventoryPresent 3","product-sizeInventoryPresent 4","product-sizeInventoryPresent 5","product-discountedPrice","product-strike","product-discountPercentage","product-sizeButton","product-sizeButton 2","product-sizeButton 3","product-sizeButton 4","product-sizeButton 5","xcelerator-plpXceleratorImageTag"
"4.2","25","|","https://www.myntra.com/caps/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-navy-blue-solid-training-cap/14886448/buy","","HRX by Hrithik Roshan","Unisex Training Cap","Onesize","","","","","Rs. 499","Rs. 1999","(75% OFF)","Onesize","","","","",""
"4.2","18","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-running-rapid-dry-t-shirts/18657956/buy","","HRX by Hrithik Roshan","Men Rapid-Dry Running T-Shirt","S,","M,","L,","XL,","XXL","Rs. 405","Rs. 699","(42% OFF)","S","M","L","XL","XXL",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-maroon-typography-printed-rapid-dry-training-t-shirt/18657882/buy","","HRX by Hrithik Roshan","Rapid-Dry Training T-Shirt","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL",""
"4","7","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-outdoor-men-avacodo-rapid-dry-typography-tshirts/17861012/buy","","HRX by Hrithik Roshan","Outdoor Rapid-Dry Tshirts","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL","NEW SEASON"
"4.5","6","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-brand-logo-printed-rapid-dry-training-t-shirt/18657902/buy","","HRX by Hrithik Roshan","Rapid-Dry Training T-Shirt","S,","M,","L,","XL,","XXL","Rs. 405","Rs. 699","(42% OFF)","S","M","L","XL","XXL",""
"4.3","523","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-printed-running-pure-cotton-t-shirt/11037104/buy","","HRX by Hrithik Roshan","Men Round Neck Running Pure Cotton T-shirt","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL",""
"4.6","43","|","https://www.myntra.com/wristbands/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-set-of-2-brand-logo-sports-sweat-wristbands/12800260/buy","","HRX by Hrithik Roshan","Unisex Set of 2 Wristbands","Onesize","","","","","Rs. 336","Rs. 449","(25% OFF)","Onesize","","","","",""
"4.1","143","|","https://www.myntra.com/innerwear-vests/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-solid-melange-lifestyle-innerwear-vest/14097340/buy","","HRX by Hrithik Roshan","LLifestyle Innerwear Vest","S,","M,","L,","XL","","Rs. 269","Rs. 599","(55% OFF)","S","M","L","XL","",""
"4.1","567","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-printed-bio-wash-yoga-pure-cotton-t-shirt/11999464/buy","","HRX by Hrithik Roshan","Yoga Bio-Wash Pure Cotton T-shirt","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","M","L","XL","XXL",""
"4.5","6","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-mauve--white-brand-logo-printed-rapid-dry-running-t-shirt/18657750/buy","","HRX by Hrithik Roshan","Brand Logo Running T-shirt","XS,","S,","M,","L,","XL","Rs. 409","Rs. 999","(59% OFF)","XS","S","M","L","XL",""
"","","","https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-olive-green-solid-lifestyle-cotton-shorts/18300300/buy","","HRX by Hrithik Roshan","Boys Lifestyle Cotton Shorts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 422","Rs. 899","(53% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"","","","https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-grey-melange-solid-lifestyle-cotton-shorts/18300302/buy","","HRX by Hrithik Roshan","Boys Lifestyle Cotton Shorts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 422","Rs. 899","(53% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"","","","https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-navy-blue-solid-lifestyle-shorts/18300292/buy","","HRX by Hrithik Roshan","Boys Solid Lifestyle Shorts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 422","Rs. 899","(53% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"4.3","13","|","https://www.myntra.com/caps/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-green--black-printed-baseball-cap/14886438/buy","","HRX by Hrithik Roshan","Unisex Printed Baseball Cap","Onesize","","","","","Rs. 449","Rs. 1799","(75% OFF)","Onesize","","","","",""
"4.6","27","|","https://www.myntra.com/wristbands/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-set-of-2-grey--flourescent-yellow-performance-wristbands/12800276/buy","","HRX by Hrithik Roshan","Set of 2 PerformanceWristbands","Onesize","","","","","Rs. 314","Rs. 449","(30% OFF)","Onesize","","","","",""
"3.7","3","|","https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-black-solid-lifestyle-cotton-shorts/18300288/buy","","HRX by Hrithik Roshan","Boys Cotton Lifestyle Shorts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 422","Rs. 899","(53% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"4.3","55","|","https://www.myntra.com/face-towels/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-grey-solid-face-towel/16065210/buy","","HRX by Hrithik Roshan","Unisex Solid Face Towel","Onesize","","","","","Rs. 449","Rs. 999","(55% OFF)","Onesize","","","","",""
"4.1","28","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-oxy-fire-bio-wash-brand-carrier-t-shirt/18162730/buy","","HRX by Hrithik Roshan","Lifestyle Bio-Wash T-shirt","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","M","L","XL","XXL","NEW SEASON"
"4.6","908","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-crew-length-pack-of-2-rapid-dry-socks/2510314/buy","","HRX by Hrithik Roshan","Men Running Socks","Onesize","","","","","Rs. 314","Rs. 449","(30% OFF)","Onesize","","","","",""
"4.5","92","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-women-formula-red-rapid-dry-brand-carrier-tshirt/17208196/buy","","HRX by Hrithik Roshan","Training Rapid-Dry Tshirt","XS,","S,","M,","L,","XL","Rs. 489","Rs. 699","(30% OFF)","XS","S","M","L","XL","NEW SEASON"
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-white--red-typography-colourblocked-lifestyle-t-shirt/18292746/buy","","HRX by Hrithik Roshan","Boys Lifestyle T-shirt","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 399","Rs. 999","(60% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-black-typography-printed-lifestyle-t-shirt/18292750/buy","","HRX by Hrithik Roshan","Boys Printed Lifestyle T-shirt","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 399","Rs. 799","(50% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y","NEW SEASON"
"4.4","14","|","https://www.myntra.com/wristbands/hrx-by-hrithik-roshan/-hrx-by-hrithik-roshan-unisex-set-of-2-black--white-performance-wristbands/12800250/buy","","HRX by Hrithik Roshan","Set of 2 PerformanceWristbands","Onesize","","","","","Rs. 314","Rs. 449","(30% OFF)","Onesize","","","","",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-navy-blue-typography-pure-cotton-t-shirt/19589756/buy","","HRX by Hrithik Roshan","Boys Typography Cotton T-shirt","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 399","Rs. 799","(50% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-blue-typography-printed-rapid-dry-training-t-shirt/18657872/buy","","HRX by Hrithik Roshan","Rapid-Dry Training T-Shirt","S,","M,","L,","XL,","XXL","Rs. 409","Rs. 999","(59% OFF)","S","M","L","XL","XXL",""
"4.5","15","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-blue-running-rapid-dry-t-shirts/18657950/buy","","HRX by Hrithik Roshan","Men Rapid-Dry Running T-Shirt","S,","M,","L,","XL,","XXL","Rs. 405","Rs. 699","(42% OFF)","S","M","L","XL","XXL",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-blue-typography-printed-rapid-dry-training-t-shirt/18657896/buy","","HRX by Hrithik Roshan","Rapid-Dry Training T-Shirt","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-neon-lime-rapid-dry-typography-tshirts/17860906/buy","","HRX by Hrithik Roshan","Training Rapid-Dry Tshirts","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL","NEW SEASON"
"4.6","45","|","https://www.myntra.com/wristbands/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-set-of-2-brand-logo-wristbands/12800270/buy","","HRX by Hrithik Roshan","Unisex Set of 2 Wristbands","Onesize","","","","","Rs. 314","Rs. 449","(30% OFF)","Onesize","","","","",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-grey-melange-printed-t-shirt/19589758/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19589758/2022/9/15/c9f63070-cc85-4752-af97-6a615757f4f41663238229162-HRX-by-Hrithik-Roshan-Cotton-Regular-Fit-Boys-Lifestyle-Tshi-1.jpg","HRX by Hrithik Roshan","Boys Printed T-shirt","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 399","Rs. 799","(50% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-active-u-17-boys-ecru-mel-bio-wash-brand-carrier-tshirts/18162568/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18162568/2022/6/24/cdcf5a7b-cb1c-41fc-8ab4-2e9192dae4141656072136710HRXByHrithikRoshanActiveU-17BoysEcruMelBio-WashBrandCarrierT1.jpg","HRX by Hrithik Roshan","U-17 Boys Bio-Wash Tshirts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 479","Rs. 799","(40% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-active-boys-iron-rapid-dry-graphic-tshirt/17784254/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17784254/2022/8/26/83438a06-1918-45b3-b3af-1375b477ac881661488676565HRXByHrithikRoshanActiveBoysIronRapid-DryGraphicTshirt1.jpg","HRX by Hrithik Roshan","Boys Active Rapid-Dry Tshirt","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 495","Rs. 799","(38% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"4.4","181","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-pink--yellow-grindle-effect-ankle-length-five-toe-yoga-socks/13282990/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13282990/2021/9/24/8fff6fe0-a3b7-4692-bc3f-bd339e1ea8601632467797855-HRX-by-Hrithik-Roshan-Women-Pink--Yellow-grindle-Effect-Ankl-1.jpg","HRX by Hrithik Roshan","Women Grindle Yoga Socks","Onesize","","","","","Rs. 209","Rs. 599","(65% OFF)","Onesize","","","","","NEW SEASON"
"4.8","4","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-kombu-green-rapid-dry-typography-tshirts/17860868/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17860868/2022/7/25/d405d640-e4c0-40f5-88e0-4e79e000d97a1658743750159-HRX-by-Hrithik-Roshan-Men-Tshirts-9521658743749593-1.jpg","HRX by Hrithik Roshan","Training Rapid-Dry Tshirts","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL","NEW SEASON"
"4.1","39","|","https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-typography-printed-shorts/18185078/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18185078/2022/6/4/6c292dfc-d853-4a96-b63e-3fedddf2c7e51654319347487-HRX-by-Hrithik-Roshan-Mens-Life-Style-Mid-Rise-Bio-Wash-Blac-1.jpg","HRX by Hrithik Roshan","Men Typography Shorts","28,","30,","32,","34,","36","Rs. 449","Rs. 999","(55% OFF)","28","30","32","34","36",""
"4.4","171","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-black-printed-bio-wash-lifestyle-tshirts/11245600/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11245600/2020/7/22/7bbcb83e-9d82-4eea-b62b-81b7304db1d61595423495596HRXbyHrithikRoshanBoysBlackPrintedBioWashLifestyleT-shirt1.jpg","HRX by Hrithik Roshan","U-17 Boys Lifestyle Tshirts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 299","Rs. 599","(50% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"3.8","11","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-optic-white-bio-wash-brand-carrier-tshirts/18162978/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18162978/2022/5/25/0733459e-f0c3-4a80-bf48-e8f37c43748f1653474600489-HRX-by-Hrithik-Roshan-Men-Tshirts-2531653474600013-1.jpg","HRX by Hrithik Roshan","Lifestyle Bio-Wash Tshirts","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","M","L","XL","XXL",""
"4.3","150","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-black-solid-bio-wash-lifestyle-tshirts/11245618/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11245618/2020/7/27/9289022b-4d82-4894-bd22-fa1ae5d0f2b31595792402761HRXbyHrithikRoshanBoysBlackSolidLifestyleBioWashT-shirt1.jpg","HRX by Hrithik Roshan","U-17 Boys Lifestyle Tshirts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 319","Rs. 799","(60% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y","NEW SEASON"
"4.3","65","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black--grey-printed-round-neck-bio-wash-training-pure-cotton-t-shirt/8897843/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8897843/2019/8/7/84ccae1e-6087-4a93-9af3-50ef5b3996731565172769014-HRX-by-Hrithik-Roshan-Men-Tshirts-8631565172766977-1.jpg","HRX by Hrithik Roshan","Men Bio-Wash Training Pure Cotton T-shirt","S,","M,","L,","XL,","XXL","Rs. 349","Rs. 699","(50% OFF)","S","M","L","XL","XXL",""
"4.6","11","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-pack-of-3-patterned-rapid-dry-ankle-length-socks/16543116/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16543116/2022/6/3/ff201ca9-3261-4375-ba00-ec27477466351654249958503-HRX-by-Hrithik-Roshan-Boys-Socks-711654249958159-1.jpg","HRX by Hrithik Roshan","Boy Packof 3 Ankle-Length Sock","11-13Y,","14-16Y","","","","Rs. 285","Rs. 549","(48% OFF)","11-13Y","14-16Y","","","",""
"3.8","8","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey-melange-running-rapid-dry-t-shirts/18657932/buy","","HRX by Hrithik Roshan","Men Rapid-Dry Running T-Shirt","S,","M,","L,","XL,","XXL","Rs. 405","Rs. 699","(42% OFF)","S","M","L","XL","XXL",""
"4","86","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-lifestyle-white-printed-round-neck-pure-cotton-t-shirt/10105995/buy","","HRX by Hrithik Roshan","Printed Round Neck Pure Cotton T-shirt","S,","M,","L,","XL,","XXL","Rs. 314","Rs. 699","(55% OFF)","S","M","L","XL","XXL",""
"4.6","7","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-medieval-blue-bio-wash-brand-carrier-tshirts/18162532/buy","","HRX by Hrithik Roshan","Lifestyle Bio-Wash Tshirts","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","M","L","XL","XXL","NEW SEASON"
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-white-typography-printed-t-shirt/18162552/buy","","HRX by Hrithik Roshan","Men Typography Printed T-shirt","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","M","L","XL","XXL","NEW SEASON"
"4.6","9","|","https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-u-17-active-girls-lavender-rapid-dry-colourblock-shorts/15177658/buy","","HRX by Hrithik Roshan","U-17 Girls Active Shorts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 479","Rs. 1599","(70% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y","NEW SEASON"
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-charcoal-grey-printed-t-shirt/1700550/buy","","HRX by Hrithik Roshan","Printed T-shirt","S,","M,","L,","XL","","Rs. 359","Rs. 899","(60% OFF)","S","M","L","XL","",""
"4.5","924","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-black-printed-round-neck-t-shirt/8379283/buy","","HRX by Hrithik Roshan","Printed Round Neck T-shirt","XS,","S,","M,","L,","XL","Rs. 359","Rs. 899","(60% OFF)","XS","S","M","L","XL",""
"4.4","81","|","https://www.myntra.com/face-towels/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-burgundy-solid-face-towel/16065192/buy","","HRX by Hrithik Roshan","Unisex Solid Face Towel","Onesize","","","","","Rs. 449","Rs. 999","(55% OFF)","Onesize","","","","",""
"4.4","271","|","https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-girls-blue-solid-regular-fit-bio-wash-lifestyle-shorts/11456612/buy","","HRX by Hrithik Roshan","U-17 Girls Lifestyle Shorts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 499","Rs. 999","(50% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"4.4","367","|","https://www.myntra.com/caps/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-white-solid-lifestyle-cap/2178514/buy","","HRX by Hrithik Roshan","Men Lifestyle Cap","Onesize","","","","","Rs. 489","Rs. 699","(30% OFF)","Onesize","","","","",""
"4.5","29","|","https://www.myntra.com/wristbands/hrx-by-hrithik-roshan/-hrx-by-hrithik-roshan-unisex-set-of-2-green--grey-performance-wristbands/12800262/buy","","HRX by Hrithik Roshan","Set of 2 PerformanceWristbands","Onesize","","","","","Rs. 314","Rs. 449","(30% OFF)","Onesize","","","","",""
"4.6","5","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-red-printed-pure-cotton-t-shirt/18192044/buy","","HRX by Hrithik Roshan","Men Printed Cotton T-shirt","S,","M,","L,","XL,","XXL","Rs. 449","Rs. 899","(50% OFF)","S","M","L","XL","XXL",""
"3.7","6","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-printed-pure-cotton-t-shirt/19272156/buy","","HRX by Hrithik Roshan","Men Printed T-shirt","S,","M,","L,","XL,","XXL","Rs. 449","Rs. 899","(50% OFF)","S","M","L","XL","XXL","NEW SEASON"
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-boys-grey-mel-bio-wash-typography-tshirts/17208410/buy","","HRX by Hrithik Roshan","Lifestyle Bio-Wash Tshirts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 479","Rs. 799","(40% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"4.4","64","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-jet-black-bio-wash-brand-carrier-tshirts/18162714/buy","","HRX by Hrithik Roshan","Lifestyle Bio-Wash Tshirts","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","M","L","XL","XXL","NEW SEASON"
"4.3","219","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-lemon-yellow-solid-above-ankle-length-half-toe-yoga-socks/13282996/buy","","HRX by Hrithik Roshan","Women Solid Half-Toe Yoga Sock","Onesize","","","","","Rs. 174","Rs. 499","(65% OFF)","Onesize","","","","","NEW SEASON"
"4.6","16","|","https://www.myntra.com/wristbands/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-set-of-2-brand-logo-sports-sweat-wristbands/12800274/buy","","HRX by Hrithik Roshan","Unisex Set of 2 Wristbands","Onesize","","","","","Rs. 314","Rs. 449","(30% OFF)","Onesize","","","","",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-maroon-brand-logo-printed-rapid-dry-training-t-shirt/18657876/buy","","HRX by Hrithik Roshan","Rapid-Dry Training T-Shirt","S,","M,","L,","XL,","XXL","Rs. 409","Rs. 999","(59% OFF)","S","M","L","XL","XXL",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey-casual-rapid-dry-t-shirts/18657928/buy","","HRX by Hrithik Roshan","Men Rapid-Dry Outdoor T-Shirt","S,","M,","L,","XL,","XXL","Rs. 409","Rs. 999","(59% OFF)","S","M","L","XL","XXL",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-kombu-green-rapid-dry-typography-tshirts/17861174/buy","","HRX by Hrithik Roshan","Training Rapid-Dry Tshirts","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-kombu-green-rapid-dry-brand-carrier-tshirts/17860934/buy","","HRX by Hrithik Roshan","Training Rapid-Dry Tshirts","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL","NEW SEASON"
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-blue-typography-printed-rapid-dry-training-t-shirt/18657918/buy","","HRX by Hrithik Roshan","Rapid-Dry Training T-Shirt","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey-melange-training-rapid-dry-t-shirts/18657900/buy","","HRX by Hrithik Roshan","Men Rapid-Dry Training T-Shirt","S,","M,","L,","XL,","XXL","Rs. 405","Rs. 699","(42% OFF)","S","M","L","XL","XXL",""
"3.9","17","|","https://www.myntra.com/caps/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-blue-training-cap/14809982/buy","","HRX by Hrithik Roshan","Unisex U-17 Cap","Onesize","","","","","Rs. 374","Rs. 1499","(75% OFF)","Onesize","","","","",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-active-boys-estate-blue-rapid-dry-solid-tshirts/17784236/buy","","HRX by Hrithik Roshan","Boys Active Rapid-Dry Tshirts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 319","Rs. 799","(60% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y",""
"4.3","21","|","https://www.myntra.com/caps/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-charcoal-active-running-cap/14809974/buy","","HRX by Hrithik Roshan","Unisex U-17 Running Cap","Onesize","","","","","Rs. 374","Rs. 1499","(75% OFF)","Onesize","","","","",""
"4.4","30","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-optic-white-antimicrobial-brand-carrier-running-t-shirt/18341260/buy","","HRX by Hrithik Roshan","Running Antimicrobial T-shirt","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","L","XL","XXL","","NEW SEASON"
"4.3","52","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-sulphur-spring-bio-wash-brand-carrier-tshirts/18163042/buy","","HRX by Hrithik Roshan","Lifestyle Bio-Wash Tshirts","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","M","L","XL","XXL",""
"4","33","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-optic-white-bio-wash-brand-carrier-t-shirt/18162558/buy","","HRX by Hrithik Roshan","Lifestyle Bio-Wash T-shirt","S,","M,","L,","XL,","XXL","Rs. 489","Rs. 699","(30% OFF)","S","M","L","XL","XXL",""
"4.5","36","|","https://www.myntra.com/caps/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-white-training-cap/14809990/buy","","HRX by Hrithik Roshan","Unisex U-17 Cap","Onesize","","","","","Rs. 449","Rs. 1799","(75% OFF)","Onesize","","","","",""
