"product-ratingsContainer","product-ratingsCount","product-separator","product-base href","img-responsive src","product-brand","product-product","product-sizeInventoryPresent","product-sizeInventoryPresent 2","product-sizeInventoryPresent 3","product-sizeInventoryPresent 4","product-sizeInventoryPresent 5","product-discountedPrice","product-strike","product-discountPercentage","product-sizeButton","product-sizeButton 2","product-sizeButton 3","product-sizeButton 4","product-sizeButton 5","xcelerator-plpXceleratorImageTag"
"4.4","24","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-jet-black-rapid-dry-typography-tshirts/17861166/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17861166/2022/7/25/b8a179ee-d8d8-4c40-9fe4-d814a50279491658741582375-HRX-by-Hrithik-Roshan-Men-Tshirts-2481658741581849-1.jpg","HRX by Hrithik Roshan","Training Rapid-Dry Tshirts","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL","NEW SEASON"
"3.6","2.4k","|","https://www.myntra.com/bra/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-seamless-charcoal-grey-solid-non-wired-non-padded-sports-bra-2309/2131394/buy","","HRX by Hrithik Roshan","Seamless Non Padded Sports Bra","XS,","S,","M,","L,","XL","Rs. 494","Rs. 1099","(55% OFF)","S","M","L","XL","",""
"4.3","11.6k","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-active-neon-green-rapid-dry-running-t-shirt/7231693/buy","","HRX by Hrithik Roshan","Rapid Dry Running T-shirt","XS,","S,","M,","L,","XL,","Rs. 314","Rs. 899","(65% OFF)","XS","S","M","L","XL","NEW SEASON"
"4.3","147","|","https://www.myntra.com/innerwear-vests/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-white-solid-antimicrobial-lifestyle-innerwear-vests/14097244/buy","","HRX by Hrithik Roshan","Lifestyle Innerwear Vests","S,","M,","L,","XL","","Rs. 329","Rs. 599","(45% OFF)","S","M","L","XL","",""
"4.1","7","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-u-17-lifestyle-girls-deep-ocean-rapid-dry-typography-crop-t-shirt/14702220/buy","","HRX by Hrithik Roshan","U-17 Girls Lifestyle T-shirt","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 255","Rs. 799","(68% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y","NEW SEASON"
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-yellow-brand-logo-print-detail-t-shirt/19472040/buy","","HRX by Hrithik Roshan","Print Detail T-shirt","S,","M,","L,","XL,","XXL","Rs. 479","Rs. 799","(40% OFF)","S","M","L","XL","XXL",""
"4.5","2.3k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-quick-dry-socks/1416749/buy","","HRX by Hrithik Roshan","Men Running Socks","Onesize","","","","","Rs. 419","Rs. 599","(30% OFF)","Onesize","","","","",""
"4.5","1.7k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-ankle-length-pack-of-3-socks/10986388/buy","","HRX by Hrithik Roshan","Women Lifestyle Socks","Onesize","","","","","Rs. 246","Rs. 449","(45% OFF)","Onesize","","","","",""
"4.5","2.2k","|","https://www.myntra.com/socks/hrx/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-terry-socks/1616318/buy","","HRX","Men Training Socks","Onesize","","","","","Rs. 359","Rs. 599","(40% OFF)","Onesize","","","","",""
"4.4","322","|","https://www.myntra.com/trunk/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-solid-antimicrobial-lifestyle-trunk-/14097372/buy","","HRX by Hrithik Roshan","Lifestyle Antimicrobial Trunk","S,","M,","L,","XL","","Rs. 274","Rs. 549","(50% OFF)","S","M","L","XL","",""
