Mobile Phone,Total Ratings, Price ,Text1,Model Name,OS,Display,Display Type,Battery Capacity,,
"        realme narzo 50 (Speed Black, 4GB RAM+64GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display       ","8,750 ratings"," ₹ 9,999.00 ",Realme,Narzo 50,Android 11,         6.6 inches    ,         LCD    ,5000,,
        realme narzo 50i Prime (Dark Blue 3 GB RAM +32 GB Storage) Octa-core Processor | 5000 mAh Battery       ,23 ratings," ₹ 6,666.00 ",Realme,Realme narzo 50i Prime,Android 11,         6.5 inches    ,         LCD    ,5000,,
"        Tecno Spark 9 (Infinity Black, 4GB RAM, 64GB Storage)| Upto 7GB Expandable RAM | 90Hz Refresh Rate | 6.6"" HD+Display | 13MP Dual Camera | Helio G37 Gaming Processor       ","1,060 ratings"," ₹ 7,769.00 ",Tecno,Spark 9,HiOS 8.6 based on Android 12,         6.6 inches    ,         IPS    ,5000,,
"        Redmi 10A Sport (Sea Blue, 6GB RAM, 128GB Storage) | 2 Ghz Octa Cor Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 8GB RAM with RAM Booster       ",135 ratings," ₹ 9,999.00 ",Redmi,Redmi 10A Sport,MIUI 12.5,         6.53 inches    ,         LCD    ,5000,,
"        realme narzo 50i (Carbon Black, 2GB RAM+32GB Storage) - 6.5"" inch Large Display | 5000mAh Battery       ","24,797 ratings"," ₹ 6,110.00 ",Realme,Realme narzo 50i,Android 11,         6.5 inches    ,"         HD+, hd+    ",5000,,
        realme narzo 50i Prime (Mint Green 3GB RAM+32GB Storage) Octa-core Processor | 5000 mAh Battery       ,23 ratings," ₹ 6,666.00 ",Realme,Realme narzo 50i Prime,Android 11,         6.5 inches    ,         LCD    ,5000,,
"        realme narzo 50i (Mint Green, 4GB RAM+64GB Storage) - 6.5"" inch Large Display | 5000mAh Battery       ","24,797 ratings"," ₹ 8,499.00 ",Realme,Realme narzo 50i,Android 11,         6.5 inches    ,"         HD+, hd+    ",5000,,
"        Tecno Pop 5 LTE(Turquoise Cyan 2GB+32GB)| 6.52"" HD+Dot Notch | 5000mAh | 8MP Dual Camera | Front Flash| IPX2 Splash Resistant       ","4,804 ratings"," ₹ 5,849.00 ",Tecno,Tecno Pop 5 LTE (2GB/32GB),HiOS 7.6 based on Android 11,         16.56 cm    ,         LCD    ,5000,,
"        Tecno Pop 5 LTE(Ice Blue 2G+32G)| 6.52"" HD+Dot Notch | 5000mAh | 8MP Dual Camera | Front Flash| IPX2 Splash Resistant       ","4,804 ratings"," ₹ 5,899.00 ",Tecno,Tecno Pop 5 LTE (2GB/32GB),HiOS 7.6 based on Android 11,         16.56 cm    ,         LCD    ,5000,,
"        Tecno POP 6 Pro (Peaceful Blue,2GB RAM,32GB Storage) | 6.56"" HD+Dot Notch Display | 5000mAh Battery | 8MP Dual Rear Camera | Front Flash | 120Hz Touch Sampling Rate       ","4,804 ratings"," ₹ 6,099.00 ",Tecno,POP 6 Pro,HiOS 8.6 based on Android 12-Go Edition,,,,,
"        Redmi 10A Sport (Slate Grey, 6GB RAM, 128GB Storage) | 2 Ghz Octa Cor Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 8GB RAM with RAM Booster       ",135 ratings," ₹ 9,999.00 ",Redmi,Redmi 10A Sport,MIUI 12.5,         6.53 inches    ,         LCD    ,5000,,
"        Tecno Spark 9 (Sky Mirror, 6GB RAM, 128GB Storage)| Upto 11GB Expandable RAM | 90Hz Refresh Rate | 6.6"" HD+Display | 13MP Dual Camera | 5000mAh Battery | Helio G37 Gaming Processor       ","1,060 ratings"," ₹ 9,499.00 ",Tecno,Spark 9,HiOS 8.6 Based On Android 12,         6.6 inches    ,         hd+ dot notch    ,5000,,
"        Tecno Pop 5 LTE(Deepsea Luster 2G+32G)| 6.52"" HD+Dot Notch | 5000mAh | 8MP Dual Camera | Front Flash| IPX2 Splash Resistant       ","4,804 ratings"," ₹ 5,849.00 ",Tecno,Tecno Pop 5 LTE (2GB/32GB),HiOS 7.6 based on Android 11,         16.56 cm    ,         LCD    ,5000,,
"        Tecno POP 6 Pro (Polar Black,2GB RAM,32GB Storage) | 6.56"" HD+Dot Notch Display | 5000mAh Battery | 8MP Dual Rear Camera | Front Flash | 120Hz Touch Sampling Rate       ","4,804 ratings"," ₹ 6,099.00 ",Tecno,POP 6 Pro,HiOS 8.6 based on Android 12-Go Edition,,,,,
