Mobile Phone,Total Ratings, Price ,Text1,Model Name,OS,Display,Display Type,Battery Capacity,,
"        (Renewed) Redmi Note 7 Pro (Neptune Blue, 64 GB) (4 GB RAM)       ",68 ratings," ₹ 8,689.00 ",Redmi Note 7,Note 7,Android,         6.3 inches    ,4000,         4 GB    ,,
        itel A49 (6.6'' HD+IPS Waterdrop Display| 32GB+2GB Memory |Dual Security(Fingerprint+Face Unlock) |4000mAh Powerful Battery|Crystal Purple       ,31 ratings,,Itel,A661L,"Go Edition, Android 11.0",4000,     2 GB   ,"     Bluetooth, Wi-Fi, USB   ",,
"        Redmi 6A (Gold, 2GB RAM, 16GB Storage)       ","104,517 ratings",,Redmi,Redmi 6A,Android 8.1,         5.45 inches    ,"         HD+, HD+    ",3000,,
"        I KALL K475 Smartphone (4GB, 64GB) (Gold)       ",35 ratings,,IKALL,Gold,Android 10.0,         6.26 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
"        I KALL K401 Smartphone (4GB, 64GB) (4G Volte, Android 10) (Green)       ",9 ratings,,IKALL,Green,Android 10.0,         6.26 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
"        (Renewed) realme narzo 50i (Carbon Black, 4GB RAM+64GB Storage) - 6.5"" inch Large Display | 5000mAh Battery Without Offers       ",22 ratings," ₹ 7,489.00 ",Oppo,Realme narzo 50i,Android,         HD+    ,5000,         4 GB    ,,
"        (Renewed) realme C11 2021 (Cool Blue, 4GB RAM, 64GB Storage), Medium (RMX3231)       ",8 ratings," ₹ 8,001.00 ",Oppo,C21 2021,Android 11,         LCD    ,5000,         4 GB    ,,
"        Redmi 5 (Gold, 3GB RAM, 32GB Storage)       ","13,422 ratings",,Redmi,Redmi 5,Android,         5.7 inches    ,         1440 x 720    ,3300,,
"        POCO C31 (Shadow Gray, 64 GB) (4 GB RAM)       ",71 ratings,,Generic,C31,Android 10.0,         16.59 cm    ,         LCD    ,         5000 Milliamp Hours    ,,
"        (Renewed) Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Blue)       ",17 ratings," ₹ 5,216.00 ",Nokia,Nokia C01 Plus,Android 11 (Go edition),,,,,
"        Redmi 7A (Matte Blue, 2GB RAM, 32GB Storage)       ","61,730 ratings",,Redmi,Redmi 7A,Android 9.0,         5.45 inches    ,         LCD    ,4000,,
"        I KALL K475 Smartphone (4GB, 64GB) (Tarnish)       ",35 ratings,,IKALL,Tarnish,Android 10.0,         6.26 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
"        (Renewed) Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera       ",22 ratings," ₹ 9,990.00 ",Redmi,Redmi 9 Power-cr,Android 10.0,         6.53 inches    ,6000,         4 GB    ,,
"        Redmi 5 (Black, 3GB RAM, 32GB Storage)       ","16,052 ratings",,Redmi,Redmi 5,Android,,,,,
"        Redmi 7 (Comet Blue, 2GB RAM, SD 632, 32GB Storage, 4000mAH Battery)       ","77,457 ratings",,Redmi,Redmi 7,Android 9.0,,,,,
"        Realme C33 (Night Sea, 3GB RAM, 32GB Storage)       ",,,Realme,Realme C33,Android 12,         LCD    ,         5000 Milliamp Hours    ,         3 GB    ,,
"        Redmi 2GB RAM, 16GB Storage Mi 6A, Blue       ","104,517 ratings",,Redmi,Redmi 6A,Android 8.1,         5.45 inches    ,         HD+    ,3000,,
"        I KALL Z12 Smartphone (4GB, 64GB) | 6.53 Inch HD+ Display | 4G Volte (Sky Blue)       ",2 ratings,,IKALL,Sky Blue,Android 10.0,         6.53 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        I KALL Z15 Smartphone (4GB, 64GB) (Green)       ",6 ratings,,IKALL,Green,Android 10.0,         6.82 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        Redmi 8A Dual (Sea Blue, 3GB RAM, 64GB Storage) – Dual Cameras & 5,000 mAH Battery       ","100,313 ratings",,Redmi,Redmi 8A Dual,Android 9.0,         6.22 inches    ,"         HD+ Dot notch display, Dot Notch    ",5000,,
"        (Renewed) realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers       ",1 rating," ₹ 7,490.00 ",Realme,Realme C11,Android,,,,,
"        (Renewed) Note 7 Pro (Neptune Blue, 64GB, 6GB RAM)       ",7 ratings," ₹ 9,499.00 ",Redmi,Note 7,Android 9.0,         6.3 inches    ,         6 GB    ,         64 GB    ,,
"        Infinix HOT 12 Play (Racing Black, 4GB RAM 64GB Storage)       ",13 ratings,,Infinix,,Android 11,         6.82 inches    ,         6000 Milliamp Hours    ,         4 GB    ,,
"        Redmi 2GB RAM, 32GB Storage Mi 6A, Rose Gold       ","104,517 ratings",,Redmi,Redmi 6A,Android 8.1,         5.45 inches    ,         HD+    ,3000,,
"        Lava Z3 Striped Blue (3GB RAM, 32GB Storage)       ",819 ratings,,Lava,Lava Z3,Stock Android 11,         6.5 inches    ,         LCD    ,5000,,
"        Nokia 4.2 (Black, 3GB RAM, 32GB Storage)       ","10,227 ratings",,Nokia,Nokia 4.2,Android 10.0,         5.71 inches    ,         HD+    ,3000,,
"        itel A48 (Gradation Green, 2GB RAM, 32GB Storage)       ",856 ratings,,Itel,L6006,Android 10.0,         6.1 inches    ,         LCD    ,3000,,
"        Redmi 8A Dual (Sky White, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery       ","100,313 ratings",,Redmi,Redmi 8A Dual,Android 9.0,         6.22 inches    ,"         HD+ Dot notch display, Dot Notch    ",5000,,
        (Renewed) Asus Zenfone Max Pro M1 (Grey)       ,225 ratings," ₹ 5,999.00 ",ASUS,Zenfone Max Pro M1,Android 8.1,         5.99 inches    ,         2160 x 1080    ,5000,,
        Motorola e32s (3GB 32GB) (Slate Gray)       ,6 ratings,,Generic,XT2229-2,Android 12.0,         6.5 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        (Renewed) realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) - 6.5"" inch Large Display | 5000mAh Battery Without Offers       ",15 ratings," ₹ 6,750.00 ",Oppo,Realme narzo 50i,Android,         HD+    ,5000,         2 GB    ,,
"        Lava Z2s- (Striped Blue, 2GB RAM, 32 GB Storage) – 6.5” HD+ IPS Display | 5000 mAh Battery | Loud Audio, Regular (LE000Z93P_s)       ",152 ratings,,Lava,Lava Z2s_Blue,Android Stock,,,,,
"        Redmi 7 (Comet Blue, 3GB RAM, IPS LCD Display, 32GB Storage, 4000mAH Battery)       ","77,457 ratings",,Redmi,Redmi 7,Android 9.0,         6.26 inches    ,         LCD    ,4000,,
"        Infinix Smart 6 (Starry Purple, 2GB RAM 64GB Storage)       ",1 rating,,Infinix,Smart,Android 11,         6.6 inches    ,         5000 Milliamp Hours    ,         2 GB    ,,
"        (Renewed) Redmi 7A (Matte Black, 2GB RAM, 16GB Storage)       ",," ₹ 5,699.00 ",Redmi,7A-cr,Android 9.0,,,,,
        Nokia 2.1 (Blue-Copper)       ,"2,220 ratings",,Nokia,Nokia 2.1,Android 8.1,         5.5 inches    ,         HD    ,4000,,
"        Tecno Spark 8C Iris Purple (3GB+64GB) | Upto 6GB RAM |90Hz Refresh Rate |6.6""(16.7cm) HD+ Display | 5000mAh |13MP Dual Camera| IPX2       ","5,526 ratings"," ₹ 7,899.00 ",Tecno,Spark 8C,"HiOS 7.6 based on Android 11, Android 10.0",         6.6 inches    ,         IPS    ,5000,,
"        (Renewed) Realme C11 (Rich Green, 32 GB) (2 GB RAM)       ",37 ratings,,Realme,Realme c11,Android,,,,,
"        Realme C31 (Light Silver, 3GB RAM, 32GB Storage)       ",102 ratings,,Realme,C31,Android 11,5000,         3 GB    ,         3 GB    ,,
"        (Renewed) Realme C11 (Rich Grey, 32 GB) (2 GB RAM)       ",25 ratings," ₹ 6,199.00 ",Realme,Realme c11,Android,,,,,
"        Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)       ","7,407 ratings",,Panasonic,,Android 9.0,         5.46 inches    ,         IPS    ,4000,,
"        Redmi 9i (Nature Green, 4GB RAM, 64GB Storage)       ",671 ratings,,Redmi,,Android 10.0,         6.53 inches    ,         LCD    ,5000,,
"        Vivo Y01 (Sapphire Blue, 2GB RAM, 32GB ROM) with No Cost EMI/Additional Exchange Offers       ",70 ratings," ₹ 8,499.00 ",Vivo,Y01,FunTouch OS 10,         6.51 inches    ,         LCD    ,5000,,
"        Redmi Y2 (Gold, 3GB RAM, 32GB Storage)       ","63,690 ratings",,Redmi,Y2,Android,         5.99 inches    ,         1440 x 720    ,3080,,
"        (Renewed) Redmi 7 (Comet Blue, 3GB RAM, IPS LCD Display, 32GB Storage, 4000mAH Battery)       ",16 ratings," ₹ 6,799.00 ",Redmi,,Android 9.0,         6.26 inches    ,         LCD    ,4000,,
"        (Renewed) Redmi Note 5 Pro (Gold, 4GB RAM, 64GB Storage)       ",424 ratings," ₹ 7,999.00 ",MI,Redmi Note 5 Pro,Android,,,,,
"        Tecno Spark 7T(Nebula Orange, 4GB RAM, 128GB Storage) 6000 mAh Battery| 48 MP AI Dual Rear Camera       ","20,593 ratings",,Tecno,KF8_128,"HiOS 7.6, Android 11",         6.52 inches    ,         LCD    ,6000,,
"        (Renewed) MI Poco M2 (Slate Blue, 6GB RAM, 64GB Storage)       ",146 ratings," ₹ 9,999.00 ",MI,,Android,         6.53 inches    ,5000,         6 GB    ,,
        Asus Zenfone 4 Selfie (Rose Pink)       ,197 ratings,,ASUS,ZenFone 4,Android,,,,,
"        I KALL K450 Smartphone (6.26 Inch, 4GB, 32GB) (Cyan)       ",6 ratings," ₹ 6,364.00 ",IKALL,Cyan,Android 10.0,         6.26 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
        (Renewed) Redmi Note 5 Pro (Black)       ,245 ratings," ₹ 8,449.00 ",MI,Note 5 Pro,Android,,,,,
"        (Renewed) Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage)       ",381 ratings," ₹ 5,999.00 ",Redmi,,Android 9.0,         6.22 inches    ,         1520 x 720    ,5000,,
"        (Renewed) Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage)       ",381 ratings," ₹ 5,999.00 ",Redmi,,Android 9.0,         6.22 inches    ,         1520 x 720    ,5000,,
"        (Renewed) Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Nordic Blue       ",27 ratings," ₹ 9,204.00 ",Nokia,NOKIA G21,Android 11 64bits,         TFT    ,5050,         6 GB    ,,
"        Redmi 9i (Midnight Black, 4GB RAM, 64GB Storage)       ",671 ratings,,Xiaomi,,,         6.53 inches    ,         LCD    ,5000,,
"        (Renewed) realme narzo 50i (Carbon Black, 2GB RAM+32GB Storage) - 6.5"" inch Large Display | 5000mAh Battery Without Offers       ",9 ratings,,Realme,Realme narzo 50i,Android,,,,,
        (Renewed) Realme 3i 3Gb 32Gb (Diamond Blue)       ,29 ratings," ₹ 6,699.00 ",Realme,,Android,,,,,
"        (Renewed) Redmi Note 7 Pro (Neptune Blue, 128GB, 6GB RAM)       ",87 ratings," ₹ 9,489.00 ",Xiaomi,Note 7,Android,         6.3 inches    ,4000,         6 GB    ,,
"        (Renewed) Redmi Y3 (Prime Black, 3GB RAM, 32MP Selfie Camera, 32GB Storage, 4000mAH Battery)       ",37 ratings," ₹ 6,890.00 ",Redmi,,Android 9.0,         6.26 inches    ,         LCD    ,4000,,
"        Tecno Spark Go 2021 (Maldives Blue, 2GB RAM, 32GB Storage) | 5000mAh| 16.56 cm (6.52"") Display Smartphone       ","1,969 ratings",,Tecno,Spark Go 2021,"Android 10 (Go Edition, HiOS 6.2, Android 10 (Go)",         6.52 inches    ,         Incell    ,5000,,
"        (Renewed) Redmi 9A (Midnight Black, 2Gb Ram, 32Gb Storage)       ",25 ratings," ₹ 5,799.00 ",Redmi,Redmi 9A (2GB+32GB),Android 10.0,         6.53 inches    ,         1600 x 720    ,5000,,
"        Micromax in 2B (Black, 4GB RAM, 64GB Storage)       ",22 ratings,,Micromax,IN 2B,Android,         6.52 inches    ,         LCD    ,5000,,
"        I KALL Z12 Smartphone (4GB, 64GB) | 6.53 Inch HD+ Display | 4G Volte (Sapphire)       ",2 ratings,,IKALL,Sapphire,Android 10.0,         6.53 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        itel Vision2S (Gradation Purple, 6.52' HD+, 5000mAh Battery, 2GB RAM 32GB ROM, 8MP AI Dual Camera) (P651L)       ",142 ratings,,Itel,P651L,"Go Edition, Android 11",         16.56 cm    ,         LCD    ,5000,,
"        Realme C30 (Lake Blue, 3GB RAM, 32GB Storage)       ",5 ratings,,Realme,Realme C30,Android 11,         6.5 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        Micromax in 1b (Blue, 64 GB)  (4 GB RAM)       ",78 ratings,,MICROMAX IN MOBILE,IN 1B,Android 10 Go Edition,         6.52 inches    ,         LCD    ,5000,,
"        Samsung Galaxy A03 Core (Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers       ",404 ratings,,Samsung,Samsung Galaxy A03 Core,Android GO 11.0,         6.5 inches    ,         LCD    ,5000,,
"        OPPO A16e (White, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers       ",215 ratings," ₹ 9,490.00 ",Oppo,A16k,Android 11,         16.55 cm    ,         LCD    ,4230,,
"        Samsung Galaxy A03 Core (Copper Bronze, 2GB RAM, 32GB Storage)       ",1 rating,,Samsung,SM-A032FZCDINS,Android GO 11.0,         6.5 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        (Renewed) Redmi 8A Dual (Sky White, 2GB RAM, 32GB Storage)       ",381 ratings," ₹ 6,099.00 ",Redmi,,Android 9.0,         6.22 inches    ,         1520 x 720    ,5000,,
"        I KALL Z15 Smartphone (4GB, 64GB) (Sky Blue)       ",6 ratings,,IKALL,Sky Blue,Android 10.0,         6.82 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        Samsung Galaxy A03 Blue, 3GB RAM, 32GB Storage with No Cost EMI/Additional Exchange Offers       ",74 ratings," ₹ 8,499.00 ",Samsung,Samsung Galaxy A03,Android 11,         6.5 inches    ,         LCD    ,5000,,
"        I KALL K450 Smartphone (6.26 Inch, 4GB, 32GB) (Dark Blue)       ",6 ratings," ₹ 6,364.00 ",IKALL,Dark Blue,Android 10.0,         6.26 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
"        Tecno Spark Go 2021 (Galaxy Blue 2GB RAM, 32GB Storage)|5000mAh| 16.56 cm (6.52"") Display Smartphone       ","1,969 ratings",,Tecno,Spark Go 2021,"Android 10 (Go Edition, HiOS 6.2, Android 10 (Go)",         6.52 inches    ,         Incell    ,5000,,
"        OPPO A16e (Midnight Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers       ",215 ratings," ₹ 9,490.00 ",Oppo,A16k,Android 11,,,,,
"        Tecno Spark 8C Diamond Grey (3GB+64GB) | Upto 6GB RAM |90Hz Refresh Rate |6.6"" HD+ Display | 5000mAh |13MP Dual Camera| IPX2       ","5,526 ratings",,Tecno,Spark 8C,"HiOS 7.6 based on Android 11, Android 10.0",         6.6 inches    ,         IPS    ,5000,,
"        (Renewed) realme narzo 50A (Oxygen Blue, 4GB RAM + 64GB Storage)-MediaTek Helio G85 Processor | 50MP Camera Without Offers       ",10 ratings,,Realme,Realme narzo 50A,Android,,,,,
"        I KALL Z9 Smartphone (6 Inch, 3GB, 32GB) (Green)       ",40 ratings,,IKALL,Green,Android 10.0,         6 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
"        realme C21Y (Cross Blue, 3GB RAM, 32GB Storage), Medium       ",533 ratings,,Realme,C21Y,Android 11,         6.5 inches    ,         LCD    ,5000,,
"        realme C11(2021) (Cool Grey, 2GB RAM, 32GB Storage) Without Offers       ","11,907 ratings",,Realme,Realme C11,Android,         6.5 inches    ,         LCD    ,5000,,
"        Redmi 8A Dual (Midnight Grey, 3GB RAM, 64GB Storage) – Dual Cameras & 5,000 mAH Battery       ","100,315 ratings",,Redmi,Redmi 8A Dual,Android 9.0,         6.22 inches    ,         HD+ Dot notch display    ,5000,,
"        (Renewed) Realme 3 (Dynamic Black, 3GB RAM, 32GB Storage)       ",35 ratings," ₹ 6,999.00 ",Realme,Realme 3,Android 9.0,         6.2 inches    ,         HD+    ,4230,,
        (Renewed) Redmi 7A 32GB 2GB (Matte Blue)       ,35 ratings," ₹ 5,999.00 ",Xiaomi,,Android,         5.5 inches    ,4000,         2 GB    ,,
"        (Renewed) Tecno Spark Go 2021 (Galaxy Blue 2GB RAM, 32GB Storage)|5000mAh| 6.52"" Display Smartphone       ",4 ratings," ₹ 6,490.00 ",Tecno,,"Android 10.0 (Go), Android 10.0 (Go Edition, HiOS 6.2",         Incell    ,5000,         32 GB    ,,
"        OPPO A16e (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers       ",215 ratings," ₹ 9,490.00 ",Oppo,A16k,Android 11,         16.55 cm    ,         LCD    ,4230,,
"        (Renewed) Realme C15 (Power Blue, 4GB RAM, 64GB Storage)       ",54 ratings," ₹ 9,299.00 ",Realme,,Android,         6.52 inches    ,6000,         4 GB    ,,
"        (Renewed) Redmi 7 (Eclipse Black, 2GB RAM, SD 632, 32GB Storage, 4000mAH Battery)       ",61 ratings," ₹ 6,099.00 ",Redmi,,Android 9.0,         6.26 inches    ,         LCD    ,4000,,
"        (Renewed) Redmi 9 Prime (Mint Green, 4GB RAM, 128GB Storage) - Full HD+ Display & AI Quad Camera       ",8 ratings," ₹ 9,699.00 ",Redmi,Redmi 9 Prime-cr,Android 10.0,         6.53 inches    ,5020,         4 GB    ,,
"        (Renewed) realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers       ",1 rating," ₹ 7,090.00 ",Realme,Realme C11,Android,         LCD    ,5000,         2 GB    ,,
"        Samsung Galaxy M02 (Blue,3GB RAM, 32GB Storage)       ","18,756 ratings",,Samsung,Samsung Galaxy M02,Android 10.0,,,,,
"        (Renewed) POCO C3 (64 GB Storage, 4 GB RAM)       ",114 ratings,,Redmi,,Android,,,,,
"        (Renewed) Asus Zenfone Max M2 (Black, 3GB RAM, 32GB Storage)       ",126 ratings," ₹ 5,499.00 ",ASUS,Zenfone Max M2,Android 8.1,         6.26 inches    ,         720 x 1520    ,4000,,
"        (Renewed) Redmi 9A (Nature Green, 2Gb Ram, 32Gb Storage)       ",24 ratings," ₹ 5,799.00 ",Redmi,Redmi 9A (2GB+32GB),Android 10.0,         6.53 inches    ,         1600 x 720    ,5000,,
"        (Renewed) Tecno Pop 5 LTE(Turquoise Cyan 2G+32G)| 6.52"" HD+Dot Notch | 5000mAh | 8MP Dual Camera | Front Flash| IPX2 Splash Resistant       ",3 ratings," ₹ 5,498.00 ",Tecno,Tecno Pop 5 LTE (2GB/32GB),HiOS 7.6 based on Android 11,     Value Mega Mart   ,     Front   ,     2 GB   ,,
"        I KALL Z15 Smartphone (6.8 Inch HD+ Display) (4GB, 64GB, 4G Volte) | Green       ",2 ratings,,IKALL,Green,Android 10.0,         6.8 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        Realme C33 (Sandy Gold), 3GB RAM, 32GB Storage       ",,,Realme,Realme C33,Android 12,         LCD    ,         5000 Milliamp Hours    ,         3 GB    ,,
"        I KALL K401 Smartphone (4GB, 64GB) (4G Volte, Android 10) (Sky Blue)       ",9 ratings,,IKALL,Sky Blue,Android 10.0,         6.26 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
"        Nokia C21 Plus Android Smartphone, Dual SIM, 3-Day Battery Life, 3GB RAM + 32GB Storage, 13MP Dual Camera with HDR | Dark Cyan       ",57 ratings," ₹ 9,799.00 ",Nokia,Nokia C21 Plus (3/32),Android 11 R Go,         6.57 inches    ,         LCD    ,5050,,
"        (Renewed) Redmi 9i (Sea Blue, 4GB RAM, 64GB Storage)       ",183 ratings,,Redmi,,Android,,,,,
"        Micromax in 2C (Silver, 32 GB)  (3 GB RAM)       ",12 ratings,,Micromax,IN 2C,Android,         6.52 inches    ,         LCD    ,5000,,
"        Redmi Poco C3 (Arctic Blue, 4 RAM /64 Storage)       ",139 ratings,,Xiaomi,,Android,         6.43 inches    ,         HD+    ,5000,,
"        (Renewed) Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL       ",22 ratings," ₹ 7,799.00 ",Redmi,,Android,         1600 x 720    ,5000,         4 GB    ,,
"        (Renewed) Realme 3 (Radiant Blue, 32 GB) (3 GB RAM)       ",42 ratings," ₹ 6,999.00 ",Realme,Realme 3,Android,,,,,
"        (Renewed) Redmi 9i (Midnight Black, 4GB RAM, 64GB Storage)       ",183 ratings," ₹ 7,499.00 ",Redmi,,Android,,,,,
"        (Renewed) Redmi 6 Pro (Black, 3GB RAM, 32GB Storage)       ",191 ratings," ₹ 7,509.00 ",MI,Redmi 6 Pro,Android 8.1,         5.84 inches    ,         2280 x 1080    ,4000,,
"        Tecno Spark 7 (Morpheus Blue, 2GB RAM, 32 GB Storage) - 6000mAh Battery|16 MP Dual Camera| 6.52” Dot Notch Display| Octa Core Processor       ","5,905 ratings",,Tecno,Tecno Spark 7 (2/32GB),"HiOS 7.5, Android 11 (Go Edition)",         6.52 inches    ,         LCD    ,6000,,
"        I KALL K470 Smartphone (4GB, 32GB) (Sky Blue)       ",7 ratings,,IKALL,Sky Blue,Android 10.0,         6.26 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
"        realme Narzo 50i (Mint Green, 2GB RAM 32GB Storage)       ",1 rating,,Generic,,Android 11,         16.51 cm    ,         5000 Milliamp Hours    ,         4 GB    ,,
"        Redmi 9i (Sea Blue, 4GB RAM, 64GB Storage)       ",282 ratings,,Redmi,,,         6.53 inches    ,         LCD    ,5000,,
"        Nokia C20 Plus, 6.5"" HD+ Screen, 4950 mAh Battery, 2 + 32GB Memory (Dark Grey)       ",740 ratings,,Nokia,Nokia C20 Plus,Android 11 (Go edition),         6.5 inches    ,         TFT IPS    ,4950,,
"        (Renewed) Asus Zenfone Max Pro M1 ZB601KL-4H070IN (Grey, 4GB RAM, 64GB Storage)       ",91 ratings," ₹ 6,999.00 ",ASUS,Zenfone Max Pro M1,Android 8.1,         5.99 inches    ,         2160 x 1080    ,5000,,
"        (Renewed) Redmi 9 Prime (Mint Green, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera       ",30 ratings," ₹ 9,999.00 ",Redmi,,Android,         2340 x 1080    ,5020,         4 GB    ,,
"        Nokia C20 Plus, 6.5""(16.51cm) HD+ Screen, 4950 mAh Battery, 3 + 32GB Memory (Dark Grey)       ",740 ratings,,Nokia,Nokia C20 Plus,Android 11 (Go edition),         6.5 inches    ,         TFT IPS    ,5000,,
"        Redmi 8A Dual (Sky White, 3GB RAM, 64GB Storage) – Dual Cameras & 5,000 mAH Battery       ","100,315 ratings",,Redmi,Redmi 8A Dual,Android 9.0,         6.22 inches    ,"         HD+ Dot notch display, HD+ Dot Notch    ",5000,,
"        Micromax in Note 1 (Green, 4GB RAM. 64GB Storage), (E7746)       ",298 ratings,,Micromax,Micromax in Note 1 4GB 64GB Green,Android,         6.67 inches    ,         Full HD+ IPS Infinity Display    ,22,,
"        I KALL Z9 4G Smartphone (3GB, 32GB, Android 10) (Blue)       ",10 ratings,,IKALL,Blue,Android 10.0,         6 inches    ,         LCD    ,         4000 Milliamp Hours    ,,
        itel A27 (5.45'' FW+ IPS Full Screen Display | 4G Volte | 4000mAh Battery with AI Power Master|Dual Security-32GB+2GB Memory |Fingerprint Sensor + Face Unlock |5MP AI Rear Camera)       ,39 ratings,,Itel,A551L,"Go Edition, Android 11.0",     Appario Retail Private Ltd   ,4000,     2 GB   ,,
"        (Renewed) MI Poco M2 (Pitch Black, 6GB RAM, 64GB Storage)       ",146 ratings," ₹ 8,499.00 ",MI,,Android,         6.53 inches    ,5000,         6 GB    ,,
"        (Renewed) Redmi 9 Prime (Space Blue, 4GB RAM, 128GB Storage) - Full HD+ Display & AI Quad Camera       ",8 ratings," ₹ 9,799.00 ",Redmi,Redmi 9 Prime-cr,Android 10.0,         6.53 inches    ,5020,         4 GB    ,,
"        Tecno Spark 9T (Atlantic Blue, 4GB RAM, 64GB Storage)|50MP SuperNight Triple Camera|7GB Large RAM with Memory Fusion|6.6"" FHD+Dot Display|18W Flash Charger|Helio G35 Processor       ",45 ratings,,Tecno,Spark 9T,HiOS 7.6 based on Android 11,         6.6 inches    ,         IPS    ,5000,,
"        (Renewed) Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL       ",22 ratings," ₹ 7,489.00 ",Redmi,,Android,         1600 x 720    ,5000,         4 GB    ,,
"        Realme C30 (Bamboo Green, 3GB RAM, 32GB Storage)       ",3 ratings,,Realme,Realme C30,Android 11,         6.5 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        (Renewed) Realme 3 (Dynamic Black, 3GB RAM, 32GB Storage)       ",35 ratings," ₹ 6,999.00 ",Realme,Realme 3,Android 9.0,         6.2 inches    ,         HD+    ,4230,,
"        (Renewed) Tecno Pop 5 LTE(Deepsea Luster 2G+32G)| 6.52"" HD+Dot Notch | 5000mAh | 8MP Dual Camera | Front Flash| IPX2 Splash Resistant       ",3 ratings,,Tecno,Tecno Pop 5 LTE (2GB/32GB),HiOS 7.6 based on Android 11,,,,,
"        (Renewed) Motorola g22 (Mint Green, 64 GB) (4 GB RAM)       ",," ₹ 9,599.00 ",Generic,G22,Android 12,,,,,
"        Micromax in 2C (Brown, 32 GB)  (3 GB RAM)       ",9 ratings,,Micromax,IN 2C,Android,         6.52 inches    ,         LCD    ,5000,,
"        Mi 6 Pro (Gold, 3Gb Ram, 32Gb Storage)       ","85,729 ratings",,MI,Redmi 6 Pro,Android,,,,,
"        (Renewed) Redmi 10 (Midnight Black, 4GB RAM, 64GB Storage)       ",1 rating,,Redmi,10,Android 11,,,,,
"        Poco C31 (Shadow Gray, 32 GB) (3 GB RAM)       ",40 ratings,,Generic,,Android,         16.59 cm    ,         5000 Milliamp Hours    ,         3 GB    ,,
"        Infinix Hot 11 2022 (Sunset Gold, 4GB RAM 64GB Storage)       ",12 ratings,,Infinix,,Android 11,         6.7 millimetres    ,         5000 Milliamp Hours    ,         4 GB    ,,
"        Realme C30s (Stripe Black, 2GB RAM, 32GB Storage)       ",,,Realme,Realme C30s,Android 12,,,,,
"        (Renewed) Micromax in Note 1 (White, 4GB RAM, 64GB Storage)       ",17 ratings," ₹ 9,499.00 ",Micromax,,Android,         6.67 inches    ,5000,         4 GB    ,,
"        (Renewed) realme narzo 30 (Racing Silver, 4GB RAM, 64GB Storage) - MediaTek Helio G95 processor I Full HD+ display with No Cost EMI/Additional Exchange Offers       ",66 ratings," ₹ 9,899.00 ",Realme,Realme narzo 30,Android 11,     Authorized-Dealer   ,     Lithium Ion   ,5000,,
"        (Renewed) Redmi 6 Pro (Blue, 3GB RAM, 32GB Storage)       ",40 ratings," ₹ 7,289.24 ",MI,Redmi 6 Pro,Android 8.1,         5 inches    ,         1280 x 720    ,4000,,
"        (Renewed) Mi Redmi 8 Phone (Sapphire Blue, 4GB RAM, 64GB Storage)       ",159 ratings," ₹ 9,890.00 ",MI,MZB9123IN/MZB07R9IN/MZB8257IN,Android,         6.22 inches    ,         LCD    ,5000,,
"        realme C21Y (Cross Black, 3GB RAM, 32GB Storage), Medium       ",236 ratings,,Realme,C21Y,Android 11,         6.5 inches    ,         LCD    ,5000,,
